name,kind,n_used,ate_kfold_shuffled,ate_tss,ate_delta,ci_width_kfold,ci_width_tss,sig_kfold,sig_tss,ci_width_delta,sig_flipped
habit_ai,binary,251,4.902056866763215,-8.017693290211598,-12.919750156974814,20.484459554557215,45.9367408322213,False,False,25.45228127766408,False
journal_wore_a_mouthguard_while_sleeping,binary,251,-11.030790510946073,-10.384389759366213,0.6464007515798595,35.96361637883487,23.38592632652682,False,False,-12.57769005230805,False
journal_felt_depressed_or_down,binary,251,4.833436886922452,9.227722954210563,4.394286067288111,38.91376732995283,42.242384545330076,False,False,3.3286172153772426,False
journal_saw_direct_sunlight_upon_waking_up,binary,159,-1.3380532100936795,-4.654896426362111,-3.316843216268431,28.769337574892173,60.90862134398625,False,False,32.13928376909408,False
journal_did_compression_therapy,binary,215,6.449209568287927,12.180002467584575,5.730792899296649,20.17323067194809,25.66239568917384,False,False,5.489165017225751,False
journal_hydrated_sufficiently,binary,245,1.7481396925603951,32.58732776448061,30.839188071920216,20.37142544177659,63.2447172913482,False,True,42.873291849571615,True
journal_viewed_a_screen_device_in_bed,binary,159,-1.9191709977592295,7.074657520411706,8.993828518170936,31.747787820232737,41.47895000581632,False,False,9.731162185583585,False
journal_wore_a_sleep_mask,binary,166,7.0311436819598105,-48.94533046678148,-55.97647414874129,31.55443266415362,80.70268551591465,False,True,49.14825285176103,True
journal_wore_mouth_tape_while_sleeping,binary,176,-0.36942576146265277,-11.48217283459414,-11.112747073131487,21.577098562781792,67.01917244629036,False,False,45.44207388350856,False
journal_consumed_protein,binary,223,15.035875528574598,17.19100392959328,2.155128401018681,50.236881186184526,53.44643609927971,False,False,3.2095549130951824,False
journal_took_a_multivitamin,binary,146,-10.888865341309806,-3.7359416989108656,7.152923642398941,58.80613447299875,22.42031710080051,False,False,-36.38581737219824,False
journal_traveled_on_a_plane,binary,147,6.820773768636542,-50.681797264716174,-57.502571033352716,21.836095063087157,95.9514482161188,False,True,74.11535315303165,True
journal_received_massage_therapy,binary,133,22.631672424248343,14.844627181100037,-7.787045243148306,36.383172219401686,80.76098097018827,True,False,44.377808750786585,True
journal_spent_time_stretching,binary,176,-20.56995051741525,-15.619453739917947,4.950496777497303,48.050867470216744,44.16825820625746,False,False,-3.8826092639592815,False
journal_took_an_anti_inflammatory_drug_nsaids,binary,176,4.8780479884337815,-2.9699052523250358,-7.847953240758818,21.768101910771122,47.59217739359366,False,False,25.824075482822536,False
